Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
280088829.0,300998426.0,38.521,16.28,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,71463193830.4064,-0.850357065542582,-390655317.827853,27168678557.165,100.305073805138,46.84363185333157,35.2263346566754,1972,India
273769666.0,294098355.0,38.822,16.73,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,67350988020.9041,-0.85209499554729,-391044936.57278,25660577256.7808,97.7727182140443,46.84363185333157,35.1197934323141,1971,India
267712747.0,287477050.0,39.108,17.187,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,62422483054.5173,3.5660173874593215,-378666666.666667,24923928060.2093,335.1825163277326,46.84363185333157,54.656074326897325,1970,India
261932710.0,281151623.0,39.388,17.65,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,58447995016.8493,3.5660173874593215,-361333333.333333,24173122434.1733,335.1825163277326,46.84363185333157,54.656074326897325,1969,India
256412988.0,275100846.0,39.672,18.122,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,53085455870.8227,3.5660173874593215,-340000000.0,22101360152.0907,335.1825163277326,46.84363185333157,54.656074326897325,1968,India
251117415.0,269283162.0,39.968,18.603,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,50134942203.4467,3.5660173874593215,-344000000.0,21441522443.2027,335.1825163277326,46.84363185333157,54.656074326897325,1967,India
245993503.0,263638006.0,40.274,19.093,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,45865462033.91,3.5660173874593215,-328571428.571429,18357856479.1243,335.1825163277326,46.84363185333157,54.656074326897325,1966,India
241002419.0,258120909.0,40.587,19.591,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,59554854574.7942,3.5660173874593215,-344393112.137757,23197892400.7476,335.1825163277326,46.84363185333157,54.656074326897325,1965,India
236130821.0,252717318.0,40.898,20.096,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,56480289940.8261,3.5660173874593215,-304500304.500305,23262954030.3429,335.1825163277326,46.84363185333157,54.656074326897325,1964,India
231387194.0,247438408.0,41.2,20.608,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,48421923458.7413,3.5660173874593215,-235200235.200235,19039379881.7027,335.1825163277326,46.84363185333157,54.656074326897325,1963,India
226780736.0,242296455.0,41.484,21.126,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,42161481858.7014,3.5660173874593215,-226800226.800227,16177923530.6432,335.1825163277326,46.84363185333157,54.656074326897325,1962,India
222328744.0,237313422.0,41.749,21.652,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,39232435784.0946,3.5660173874593215,-205800205.800206,15844961402.3457,335.1825163277326,46.84363185333157,54.656074326897325,1961,India
218042936.0,232504739.0,41.995,22.184,8.0,19.391428777149745,54.8760712487357,68.82178619929724,14.161428621837075,5.562178560665676,37029883875.4573,3.5660173874593215,-151200151.200151,15298096331.0212,335.1825163277326,46.84363185333157,54.656074326897325,1960,India
